,text,Sarcasm1
0,Επιχείρηση Βολευτική έδρα!  Βασίλης Οικονόμου:  Από το ΠΑΣΟΚ διαγράφηκε απο το ΓΑΠ επειδη ΔΕΝ ψήφισε το Μνημόνιο... http://t.co/gPgr1Caqxv,Sarcastic
1,"Κ ά β ο ς: Ψηφοδέλτιο ΣΥΡΙΖΑ Κορινθίας - Πού πας,ΣΥΡΙΖΑ, με δράμι μυαλό... http://t.co/8eIiKYS7CP",Sarcastic
2,Μίκης Θεοδωράκης: Ο ΣΥΡΙΖΑ δημιούργησε φράξια στη ΣΠΙΘΑ | TVXS - TV Χωρίς Σύνορα http://t.co/Tfrr1VTQA6,OK
3,Κριτική στις προγραμματικές δηλώσεις του ΣΥΡΙΖΑ http://t.co/Wqyln8La1M  #pblogs,OK
4,Τα ψηφοδέλτια του ΚΚΕ στην Θράκη http://t.co/a3Qxeo23kz,OK
5,Παύλος Ελευθεριάδης - Υποψήφιος με το @topotami στην Α' Αθήνας http://t.co/xZfOLRfoTx via @PEleftheriadis,OK
6,http://t.co/jJaoeupdW5 #GR: Ο Μίκης Θεοδωράκης καταγγέλλει τον ΣΥΡΙΖΑ - Το Βήμα Online,OK
7,ΛΑΙΚΟΣ ΣΥΝΔΕΣΜΟΣ ΧΡΥΣΗ ΑΥΓΗ - Τ.Ο ΛΕΣΒΟΥ:   ΧΡΥΣΗ ΑΥΓΗ Τ.Ο ΛΕΣΒΟΥ  ΜΙΑ ΝΕΑ ΧΡΥΣΗ ΑΥΓΗ ΑΝΑΤ... http://t.co/ZJILIf9Ng0,OK
8,Σαμαράς: «Ο ΣΥΡΙΖΑ λέει ψέμματα σε Ελληνες και ξένους» (video) http://t.co/xmJcnSGExs,OK
9,"@AlexandrosFL350 @tatiana_papan ακριβως αυτο. φιλοι του κομματος, απλος λαος που δινει απο το υστερημα του για το καλο της χωρας.",OK
10,ΤΑ ΛΟΓΙΑ ΤΟΥ ΠΟΥΤΙΝ ΠΕΙΡΑΞΑΝ ΕΚΠΡΟΣΩΠΟΥΣ ΤΟΥ ΣΥΡΙΖΑ ΚΑΙ ΑΠΟΧΩΡΗΣΑΝ ΑΠΟ ΤΟΝ ΤΡΑΓΚΑ http://t.co/YhWUTpRlgW,OK
11,"@htheoharis δεν κατηγορεί κάποιος εσάς πέρα απ αυτούς που ήδη το έκαναν,το ποτάμι αφορά κ είναι ουσιαστικό.Υπάρχει δε και η κα Δρέτα",OK
12,"@adiasistos θα σου απαντούσε ""γηράσκω αει αναθεωρών"", αλλά δεν θέλει να κλείσει την πόρτα στο ΚΚΕ @OikonomouB @CiaoVaso22",Sarcastic
13,Μίκης Θεοδωράκης: Ο ΣΥΡΙΖΑ εκμεταλλεύτηκε εμένα και τον Μανώλη Γλέζο http://t.co/xyUEW1PrsM,OK
